electionyear;ideology;spec_eu;policy;party_char;nationalism
2014;7,35;3,6;9;9;10
2014;8;6,2;6,6;6,2;9
2014;2,5;5,5;2,1;2,6;2,25
2014;7,3;6,6;4,75;1,6;3
2014;5,6;6,2;3,86;4,6;4,5
2014;2,9;5,6;2,45;2,6;2,25
2014;2,2;5,2;1,3;3;1
2014;0,3;2,25;1,81;8,4;1
2014;5,5;6,3;4,8;2;5,25
2014;2,1;5,2;1,45;3;1
2014;4,3;6,3;4;2;4,25
2014;7,4;6,6;5;1,6;3
2014;8,12;3;8,38;6,5;10
2013;7,67;1,62;9,62;9,11;9,89
2013;7,27;6,14;3,43;0,9;3,4
2013;8,63;2,6;8,86;7,78;8,7
2013;1,24;2,91;3,61;5,4;3,7
2013;3,33;3,75;1,25;10;0
2013;3,25;4,75;1,75;6,86;1,25
2013;6,66;5,42;7,36;2;6,6
2013;3,63;5,95;3,55;1,3;3,3
2013;5,92;6,23;5,76;0,8;4,7
2013;3,56;5,91;1,77;2;1,4
2013;5,29;5,93;6,04;1,5;6,5
2013;6,5;6,75;5;1;3,75
2013;4,67;6;4,22;4;5
2013;4,07;6;3,39;4,4;3,4
2013;6,86;4,5;7,2;4;7,2
2013;8,07;1,35;8,56;8,8;9,6
2013;6,71;2,2;8,31;6,25;9,4
2013;1;2,58;2,04;6,8;2
2013;4,05;1,72;4,53;10;3,8
2013;5;6,12;4,62;3,33;4,67
2013;5,2;6;4,62;5;6,67
2013;0,21;1,6;1,52;9,33;2,25
2013;6,07;5,33;6,95;2,2;6,6
2013;7,5;2,6;7,99;6,89;8,3
2013;3,35;5,22;4,15;2,3;4,1
2013;2,9;5,35;1,44;4,8;1,6
2013;6,25;6,15;6,45;1,6;6,2
2013;7,75;3,42;7,49;7,9;6,75
2013;6,8;6,04;3,08;6,2;2,7
2013;7,1;2,2;9,37;8;9,4
2014;7,45;5,29;2,47;2,05;3
2014;7,26;6,49;2,61;1,95;2,78
2014;6,58;1,26;9,4;8,89;9,78
2014;3,6;4,43;2,46;1,95;3,33
2014;3,4;3,69;0,95;3,58;1,17
2014;1,55;1,91;0,85;5,37;1,28
2014;5,12;3,68;2,1;8,06;1,23
2014;7,55;6,15;3,24;1,74;3,89
2014;1,76;2,64;0,64;7,12;0,94
2014;7,33;5,54;4,16;2,11;4,65
2014;7,78;6,48;4,48;4,59;3,47
2014;7,41;6,42;4,4;4,59;3,65
2014;3,4;1,5;9,62;9,47;9,82
2014;6,75;6,09;5,44;4,94;5,06
2014;4,91;2,8;9,1;8,88;9
2014;3,42;4,71;5,82;6,19;5,25
2014;6,33;6,51;3,88;4,71;3
2014;4,52;5,21;3,72;4,06;4,24
2014;5,56;3,2;8,85;8,38;8,81
2014;3,58;4,14;5,56;4,06;5,12
2014;4,99;3,57;8,24;8,82;8
2013;6,51;3,06;9,22;9,46;9,23
2013;3,79;5,59;1,42;5,85;1,92
2013;8,97;3,31;6,72;7;7,67
2013;5,75;6,04;7,16;2,46;5,08
2013;7,54;6,46;5,03;1,92;3,77
2013;6,07;5,55;4,93;7,77;4,82
2013;8,07;4,58;6,86;2,15;7,46
2013;2,93;5,51;4,15;1,5;5,08
2013;1,04;2,6;6,34;5,69;7,62
2014;4,11;6,37;2,97;4,5;1,64
2014;3,95;4,68;2,7;7,43;3,62
2014;4,25;6,11;2,5;5,21;1,71
2014;6,86;1,5;9,41;9,07;9,69
2014;3,75;5,93;4,22;3,5;3,14
2014;5,81;3,19;7,85;4,64;8,79
2014;3,78;3,94;4,17;7,38;3
2014;6,78;6,78;5,18;1,88;6,62
2014;3,05;3,06;4,27;9,43;4,12
2014;5,78;5,31;6,56;5,5;7,38
2014;5;4,82;5,73;9;5
2014;5,65;5,38;6,31;7,71;6,29
2014;7,09;6;8,23;5;9,75
2014;7,96;5,76;7,7;5,88;7,62
2014;4,08;5,43;4,65;4,5;4,75
2014;6,38;5,61;6,61;5;7
2014;0,83;3,92;0,98;6,75;1
2014;4,42;6,06;2,99;4,25;3,38
2014;3,77;5,39;3,03;4,62;2,75
2014;3,29;5,36;2,78;4,14;2,88
2014;8,65;6,26;7,88;6,62;8,11
2014;5,32;6,11;3,92;4,71;3,71
2013;5,12;5,83;5,56;3,33;6,75
2013;6,38;6,5;5,19;4,33;7
2013;3,5;6,5;3,5;6,5;4
2013;7,5;3,75;9;9;9
2013;4,25;5,75;4,38;5;4,5
2013;6,25;6,5;4,62;5;5,5
2013;5,5;6,25;6,75;2,5;5,5
2013;0,5;4;1,88;9;1
2019;0,33;1,96;2,51;6,03;2,11
2019;7,92;4,89;7,13;5,48;8
2019;2,54;5,22;1,77;3,59;1,92
2019;7,29;2,31;9,08;8,59;9
2019;6,88;5,94;4,28;3,23;3
2019;3,08;5,11;2,95;2,62;3,08
2019;2,29;5,22;1,69;3,66;1,75
2019;2,17;5,11;2,78;2,55;3,45
2019;6,71;5,89;4,42;2,9;3,33
2019;5,58;5,72;5,21;2,42;5,75
2019;4,62;5,78;4,31;2,52;4,09
2019;8,36;4,19;4,98;3,8;4,17
2019;8,79;2,6;8,74;6,88;9,17
2019;5,68;2,33;8,22;6,46;9,23
2019;2,86;3,97;1,7;4,64;1,46
2019;7,32;5,12;6,31;3,23;6,33
2019;2,57;4;3,46;3,03;3,5
2019;5,36;6;2,07;2,87;1,31
2019;6,75;5,38;6,14;3,8;5,17
2019;1;2,29;1,96;3,93;2,67
2019;3,86;4,67;5,79;3,7;5,67
2017;2,27;5,75;1,57;6,23;1,14
2017;5,88;5,56;6,04;1,78;5,47
2017;6,79;4,72;7,48;2,99;6,95
2017;1,36;3,13;2,5;3,47;2,89
2017;8,12;2,25;9,69;9,16;9,68
2017;3,52;5,93;1,52;2,61;1,11
2017;3,67;5,62;3,74;1,82;3,42
2017;2,67;2;1,83;9,83;NA
2017;7,17;5,64;4,68;1,89;3,89
2019;1,59;4,58;0,74;5,89;1,57
